Mach, CD_Power_On
2.60, 0.289654260030306
2.61, 0.28885538073195
2.62, 0.28806246411396
2.63, 0.287275457070404
2.64, 0.28649431775663
2.65, 0.285718971139082
2.66, 0.284949387651569
2.67, 0.284185507624307
2.68, 0.283427273206
2.69, 0.2826746495121
2.70, 0.281927569347616
2.71, 0.28118600091549
2.72, 0.280449883764378
2.73, 0.27971918583904
2.74, 0.278993839335999
2.75, 0.278273818227724
2.76, 0.277559070743845
2.77, 0.27684955660909
2.78, 0.276145231285806
2.79, 0.275446040214379
2.80, 0.274751949901771
2.81, 0.274062927148093
2.82, 0.273378904198437
2.83, 0.272699869353608
2.84, 0.272025775808137
2.85, 0.271356577059699
2.86, 0.270692242920599
2.87, 0.27003271862205
2.88, 0.269377979559121
2.89, 0.268727985979712
2.90, 0.268082704677332
2.91, 0.267442086801877
2.92, 0.266806105395194
2.93, 0.266174722689044
2.94, 0.265547910728668
2.95, 0.264925609661219
2.96, 0.264307821214781
2.97, 0.263694486846631
2.98, 0.263085578951327
2.99, 0.262481059437892
3.00, 0.261880911354114
3.01, 0.26126623041511
3.02, 0.260655193243318
3.03, 0.260047748062511
3.04, 0.259443882633809
3.05, 0.25884358201278
3.06, 0.25824681589985
3.07, 0.257653561826288
3.08, 0.257063780701286
3.09, 0.256477471667501
3.10, 0.255894600033789
3.11, 0.255315146299159
3.12, 0.25473909994137
3.13, 0.254166407151737
3.14, 0.253597082531266
3.15, 0.253031084312492
3.16, 0.25246837892828
3.17, 0.251908959391471
3.18, 0.251352819511181
3.19, 0.250799916103013
3.20, 0.250250236037169
3.21, 0.249703760307688
3.22, 0.24916045703778
3.23, 0.248620319158826
3.24, 0.248083332539054
3.25, 0.247549451394435
3.26, 0.24701867162405
3.27, 0.246490983674181
3.28, 0.245966353280019
3.29, 0.245444765768684
3.30, 0.24492619974807
3.31, 0.244410640548222
3.32, 0.243898065960441
3.33, 0.243388446913409
3.34, 0.242881793127136
3.35, 0.242378058891167
3.36, 0.241877238258061
3.37, 0.241379311874521
3.38, 0.240884256978388
3.39, 0.240392060154223
3.40, 0.239902709014466
3.41, 0.239416174721862
3.42, 0.238932437216729
3.43, 0.238451504462212
3.44, 0.237973329434958
3.45, 0.237497893386975
3.46, 0.237025211187718
3.47, 0.236555238126298
3.48, 0.236087963935845
3.49, 0.235623382375391
3.50, 0.235161470441412
3.51, 0.234702194567226
3.52, 0.234245569370065
3.53, 0.233791556933852
3.54, 0.233340137523939
3.55, 0.232891314092458
3.56, 0.232445065656501
3.57, 0.232001358958105
3.58, 0.231560196594625
3.59, 0.231121555419561
3.60, 0.230685424799585
3.61, 0.230251782693396
3.62, 0.229820613830362
3.63, 0.229391910141682
3.64, 0.228965650160216
3.65, 0.228541818684691
3.66, 0.228120399900461
3.67, 0.22770138060166
3.68, 0.227284755846074
3.69, 0.226870490079654
3.70, 0.226458582951546
3.71, 0.226049021574992
3.72, 0.22564178064954
3.73, 0.225236848337913
3.74, 0.224834220998291
3.75, 0.224433869732539
3.76, 0.224035779435952
3.77, 0.223639954993674
3.78, 0.223246371745552
3.79, 0.222854999979908
3.80, 0.222465854997805
3.81, 0.222078902466106
3.82, 0.221694123193225
3.83, 0.221311527016348
3.84, 0.22093108280056
3.85, 0.220552775596735
3.86, 0.220145096880439
3.87, 0.219739529825742
3.88, 0.219336067379424
3.89, 0.218934683399607
3.90, 0.218535388339294
3.91, 0.218138146093818
3.92, 0.217742949857576
3.93, 0.217349798703484
3.94, 0.216958659106887
3.95, 0.216569526532399
3.96, 0.216182392754067
3.97, 0.215797244160341
3.98, 0.215414061893481
3.99, 0.215032832512137
4.00, 0.214653545805764
4.01, 0.214277595495858
4.02, 0.213903565708773
4.03, 0.213531430665301
4.04, 0.213161192051239
4.05, 0.212792816426042
4.06, 0.212426308711709
4.07, 0.212061655565657
4.08, 0.211698835783953
4.09, 0.211337844684871
4.10, 0.210978664215708
4.11, 0.210621275880404
4.12, 0.210265694569076
4.13, 0.209911882284079
4.14, 0.209559826945866
4.15, 0.209209539805691
4.16, 0.208860980786071
4.17, 0.208514150679368
4.18, 0.208169048077653
4.19, 0.207825638711854
4.20, 0.20748392233966
4.21, 0.207143888855874
4.22, 0.206805525880073
4.23, 0.206468820868264
4.24, 0.206133764024558
4.25, 0.205800336684732
4.26, 0.205468531288927
4.27, 0.20513833705104
4.28, 0.204809746328336
4.29, 0.204482747288584
4.30, 0.204157317433747
4.31, 0.203833451005979
4.32, 0.203511148104663
4.33, 0.2031903769514
4.34, 0.202871145225734
4.35, 0.202553426012588
4.36, 0.202237214754845
4.37, 0.201922512031791
4.38, 0.201609285808796
4.39, 0.201305145092861
4.40, 0.201019887126423
4.41, 0.200735579436488
4.42, 0.200452226854717
4.43, 0.200169793816824
4.44, 0.199888296203428
4.45, 0.199607715975448
4.46, 0.199328056483072
4.47, 0.1990493011277
4.48, 0.198771444166683
4.49, 0.198494486672484
4.50, 0.198218408317696
4.51, 0.197943207241319
4.52, 0.197668884349799
4.53, 0.197395422716386
4.54, 0.197122818194336
4.55, 0.196851061504081
4.56, 0.196580143797714
4.57, 0.196310069438541
4.58, 0.196040813911312
4.59, 0.19577238820225
4.60, 0.195504777757545
4.61, 0.195237971374303
4.62, 0.194971973495531
4.63, 0.194706756048388
4.64, 0.194442327016209
4.65, 0.194178674841601
4.66, 0.193915801841132
4.67, 0.193653684651944
4.68, 0.193392323949864
4.69, 0.193131725559042
4.70, 0.19287185917128
4.71, 0.192612726887364
4.72, 0.192354325429166
4.73, 0.192096644479743
4.74, 0.191839681649438
4.75, 0.19158342569462
4.76, 0.191327858035991
4.77, 0.191072996929569
4.78, 0.190818813577687
4.79, 0.190565310160753
4.80, 0.190312478557006
4.81, 0.190060313154597
4.82, 0.189808796027684
4.83, 0.189557933972505
4.84, 0.189307714235479
4.85, 0.189058133609267
4.86, 0.188809174060871
4.87, 0.188560837655704
4.88, 0.18831312108167
4.89, 0.188065998867063
4.90, 0.187819483329758
4.91, 0.187573566218947
4.92, 0.187328221695997
4.93, 0.18708346195198
4.94, 0.186839269380182
4.95, 0.186595644949703
4.96, 0.186352578951993
4.97, 0.186110055251181
4.98, 0.185868081538375
4.99, 0.185626634150491
5.00, 0.185385722575956
5.01, 0.185145326553285
5.02, 0.184905438032472
5.03, 0.184666071043184
5.04, 0.184427193133622
5.05, 0.184188808464038
5.06, 0.183950915952505
5.07, 0.18371349865446
5.08, 0.183476545220598
5.09, 0.183240062920664
5.10, 0.183004031136174
5.11, 0.182768446714481
5.12, 0.182533321803045
5.13, 0.182298618349448
5.14, 0.182064340502324
5.15, 0.181830485617374
5.16, 0.181597045602227
5.17, 0.18136401950256
5.18, 0.181131387186263
5.19, 0.180899138187015
5.20, 0.180667286741436
5.21, 0.18043581492391
5.22, 0.180204701985592
5.23, 0.179973957595625
5.24, 0.179743571079632
5.25, 0.179513539865513
5.26, 0.17928385024154
5.27, 0.179054486981144
5.28, 0.178825467145627
5.29, 0.178596757702074
5.30, 0.178368360556742
5.31, 0.178140277695003
5.32, 0.1779124883993
5.33, 0.177684995089184
5.34, 0.177457789351276
5.35, 0.177230863145755
5.36, 0.177004206229323
5.37, 0.176777810692243
5.38, 0.176551675435749
5.39, 0.176325788035435
5.40, 0.176100155164265
5.41, 0.175874746430381
5.42, 0.175649576341039
5.43, 0.175424619233369
5.44, 0.175199889590043
5.45, 0.174975354736964
5.46, 0.174751031329024
5.47, 0.174526891647364
5.48, 0.174302942203112
5.49, 0.174079170573629
5.50, 0.173855581075825
5.51, 0.173632150398951
5.52, 0.17340887846246
5.53, 0.173185759487344
5.54, 0.17296278561767
5.55, 0.172739949014781
5.56, 0.172517246415995
5.57, 0.17229466521208
5.58, 0.17207219435583
5.59, 0.171849841424083
5.60, 0.171627587768488
5.61, 0.171405426285382
5.62, 0.171183355893798
5.63, 0.170961368733698
5.64, 0.170739457030917
5.65, 0.170517604969233
5.66, 0.170295815081288
5.67, 0.170074088978726
5.68, 0.169852403773854
5.69, 0.169630751214144
5.70, 0.169409129377702
5.71, 0.169187548969015
5.72, 0.168965967890664
5.73, 0.168744408284152
5.74, 0.168522859028785
5.75, 0.1683012955337
5.76, 0.168079731166068
5.77, 0.16785814698692
5.78, 0.167636536120043
5.79, 0.167414896433946
5.80, 0.167193222295245
5.81, 0.166971498272472
5.82, 0.166749726140498
5.83, 0.166527896307767
5.84, 0.166305997298373
5.85, 0.166084035029352
5.86, 0.165861982424255
5.87, 0.165639845013424
5.88, 0.16541762737932
5.89, 0.165195304006434
5.90, 0.16497286696929
5.91, 0.164750310856461
5.92, 0.164527645334582
5.93, 0.164304849360021
5.94, 0.164081921005474
5.95, 0.163858844614274
5.96, 0.163635626416899
5.97, 0.163412244832783
5.98, 0.163188703891321
5.99, 0.162964990109498
6.00, 0.162741113964942
6.01, 0.162536374705406
6.02, 0.162353781401357
6.03, 0.162171491005561
6.04, 0.161989488880398
6.05, 0.161807787933117
6.06, 0.161626373656118
6.07, 0.161445246323502
6.08, 0.161264416181452
6.09, 0.161083883683207
6.10, 0.160903634380506
6.11, 0.160723681018005
6.12, 0.160544009076766
6.13, 0.160364619558174
6.14, 0.160185521624412
6.15, 0.160006714439898
6.16, 0.159828188976073
6.17, 0.159649940686298
6.18, 0.159471980652547
6.19, 0.159294296161388
6.20, 0.15911689016813
6.21, 0.158939779757923
6.22, 0.158762934210987
6.23, 0.158586371046433
