Mach, CD_Power_Off
3.50, 0.27276145073805
3.51, 0.272348053625795
3.52, 0.271936114291083
3.53, 0.271525606226931
3.54, 0.271116520974983
3.55, 0.270708875099025
3.56, 0.270302656135516
3.57, 0.269897841715091
3.58, 0.269494447619462
3.59, 0.269092461296503
3.60, 0.268691880192585
3.61, 0.26829269503984
3.62, 0.267894903164626
3.63, 0.267498501871283
3.64, 0.267103482070827
3.65, 0.266709840769826
3.66, 0.266317569576642
3.67, 0.265926664947156
3.68, 0.265537133772597
3.69, 0.265148947633984
3.70, 0.264762117772119
3.71, 0.264376640491813
3.72, 0.263992497351503
3.73, 0.263609689970311
3.74, 0.263228219145524
3.75, 0.26284806699239
3.76, 0.262469229270339
3.77, 0.262091717250111
3.78, 0.26171551261102
3.79, 0.261340600500158
3.80, 0.26096699806266
3.81, 0.260594685565628
3.82, 0.260223645551121
3.83, 0.259853902203961
3.84, 0.259485428097688
3.85, 0.259118218253564
3.86, 0.25875227417656
3.87, 0.258387586419506
3.88, 0.258024151387708
3.89, 0.257661954504858
3.90, 0.257301011576731
3.91, 0.256941293818032
3.92, 0.256582801662703
3.93, 0.256225541344372
3.94, 0.255869488391623
3.95, 0.255514643283397
3.96, 0.255161006673251
3.97, 0.254808569834893
3.98, 0.254457322620472
3.99, 0.254107256348188
4.00, 0.253758371259569
4.01, 0.253412063785166
4.02, 0.253066924546553
4.03, 0.252722937945434
4.04, 0.252380110097451
4.05, 0.252038411964232
4.06, 0.251697858386919
4.07, 0.251358440282979
4.08, 0.251020142511335
4.09, 0.250682966388972
4.10, 0.250346901608588
4.11, 0.250011933718143
4.12, 0.249678083418923
4.13, 0.249345320245603
4.14, 0.249013636007937
4.15, 0.248683049351606
4.16, 0.248353522233633
4.17, 0.248025067971185
4.18, 0.24769768358357
4.19, 0.24737134368483
4.20, 0.24704605335004
4.21, 0.246721807736405
4.22, 0.246398599671575
4.23, 0.246076421765961
4.24, 0.245755269325048
4.25, 0.245435125379239
4.26, 0.245115994091254
4.27, 0.244797866249935
4.28, 0.244480739108093
4.29, 0.244164605679112
4.30, 0.243849448261235
4.31, 0.243535269100489
4.32, 0.243222066467042
4.33, 0.242909819731268
4.34, 0.242598534712517
4.35, 0.242288195487808
4.36, 0.241978801966042
4.37, 0.241670352822579
4.38, 0.241362826786058
4.39, 0.24105622966715
4.40, 0.240750545425215
4.41, 0.24044576784113
4.42, 0.240141908326083
4.43, 0.239838931625228
4.44, 0.23953685086483
4.45, 0.239235648347946
4.46, 0.238935330790665
4.47, 0.238635878866894
4.48, 0.238337287159272
4.49, 0.238039560047161
4.50, 0.23774267747565
4.51, 0.23744663489218
4.52, 0.237151436453157
4.53, 0.236857062558185
4.54, 0.236563512273356
4.55, 0.236270773663331
4.56, 0.235978841056649
4.57, 0.235687719056918
4.58, 0.235397380519978
4.59, 0.235107839555373
4.60, 0.234819078998127
4.61, 0.234531090734021
4.62, 0.234243879425821
4.63, 0.233957417216665
4.64, 0.233671709514298
4.65, 0.233386747782934
4.66, 0.233102534543936
4.67, 0.232819046635733
4.68, 0.232536282193856
4.69, 0.232254249999501
4.70, 0.231972919935364
4.71, 0.231692294289878
4.72, 0.231412369969361
4.73, 0.231133136838186
4.74, 0.230854590018882
4.75, 0.23057672113255
4.76, 0.230299514414562
4.77, 0.230022982993144
4.78, 0.229747100891193
4.79, 0.229471870452565
4.80, 0.229197283716194
4.81, 0.228923335228228
4.82, 0.228650007218171
4.83, 0.22837730663501
4.84, 0.228105220875353
4.85, 0.227833746879553
4.86, 0.22756286675984
4.87, 0.227292582724444
4.88, 0.227022891601716
4.89, 0.22675377055604
4.90, 0.22648522703457
4.91, 0.226217255428769
4.92, 0.225949832497693
4.93, 0.22568296807453
4.94, 0.225416642234392
4.95, 0.22515086097294
4.96, 0.224885612248974
4.97, 0.224620882462672
4.98, 0.224356674584629
4.99, 0.224092969888783
5.00, 0.223829775564347
5.01, 0.223602273224635
5.02, 0.223349534861196
5.03, 0.223097470204706
5.04, 0.222846040804701
5.05, 0.222595254255715
5.06, 0.222345108192355
5.07, 0.222095579765305
5.08, 0.221846661037156
5.09, 0.221598355731939
5.10, 0.221350644311474
5.11, 0.221103520119179
5.12, 0.220856994116913
5.13, 0.220611027077646
5.14, 0.220365624237839
5.15, 0.220120781772986
5.16, 0.219876485954576
5.17, 0.219632739172707
5.18, 0.219389520147323
5.19, 0.219146812861353
5.20, 0.2189046370712
5.21, 0.218662967140804
5.22, 0.2184217856282
5.23, 0.21818110110617
5.24, 0.217940899650836
5.25, 0.21770117763943
5.26, 0.217461922465315
5.27, 0.217223115707219
5.28, 0.216984775533692
5.29, 0.21674686575294
5.30, 0.216509389380427
5.31, 0.216272347382361
5.32, 0.216035713838719
5.33, 0.215799496481643
5.34, 0.215563681721457
5.35, 0.215328260559711
5.36, 0.21509322386709
