Mach, CD_Power_On
5.72, 0.197376399987691
5.73, 0.197189498573974
5.74, 0.197002494043124
5.75, 0.196815362367134
5.76, 0.196628115693643
5.77, 0.196440739202866
5.78, 0.196253223019327
5.79, 0.196065567338315
5.80, 0.195877767070948
5.81, 0.195689807326703
5.82, 0.195501688676772
5.83, 0.19531340555182
5.84, 0.195124943530273
5.85, 0.194936312519865
5.86, 0.194747482516071
5.87, 0.194558461298104
5.88, 0.194369253965112
5.89, 0.194179835514924
5.90, 0.193990198532091
5.91, 0.193800338111918
5.92, 0.193610264424511
5.93, 0.193419955251247
5.94, 0.193229412518077
5.95, 0.193038619381115
5.96, 0.19284758090359
5.97, 0.192656279313994
5.98, 0.192464717462485
5.99, 0.192272880706499
6.00, 0.192080783289281
6.01, 0.191907721657621
6.02, 0.19175670861906
6.03, 0.191605898341756
6.04, 0.191455279896944
6.05, 0.191304863423486
6.06, 0.191154638094738
6.07, 0.191004601432494
6.08, 0.190854767336316
6.09, 0.190705133523085
6.10, 0.190555689170646
6.11, 0.190406444303115
6.12, 0.190257388000695
6.13, 0.190108520124669
6.14, 0.189959850274966
6.15, 0.18981137805103
6.16, 0.189663093307477
6.17, 0.189514995030717
6.18, 0.189367093175371
6.19, 0.189219376986073
6.20, 0.189071846767238
6.21, 0.188924521561952
6.22, 0.18877737106693
6.23, 0.188630414728815
6.24, 0.188483642444127
6.25, 0.188337053510026
6.26, 0.188190657571946
6.27, 0.188044444425341
6.28, 0.18789842346548
6.29, 0.187752584387468
6.30, 0.187606936686268
6.31, 0.1874614597134
6.32, 0.187316173651033
6.33, 0.187171076451962
6.34, 0.187026150307052
6.35, 0.186881413372133
6.36, 0.18673686538346
6.37, 0.186592485696894
6.38, 0.186448294285002
6.39, 0.186304290465798
6.40, 0.18616045410886
6.41, 0.186016804435362
6.42, 0.185873331177139
6.43, 0.18573004379491
6.44, 0.185586922252553
6.45, 0.185443995777666
6.46, 0.185301234331423
6.47, 0.185158647144693
6.48, 0.185016243615208
6.49, 0.184874013900251
6.50, 0.184731955979644
6.51, 0.184590082220186
6.52, 0.184448370705049
6.53, 0.184306850733008
6.54, 0.184165492655291
6.55, 0.184024305416135
6.56, 0.1838832989398
6.57, 0.183742452724033
6.58, 0.183601796366898
6.59, 0.18346129934418
6.60, 0.183320971378596
6.61, 0.183180822069223
6.62, 0.183040841115501
6.63, 0.18290101769738
6.64, 0.182761382055477
6.65, 0.182621902932818
6.66, 0.182482590687979
6.67, 0.18234345333002
6.68, 0.182204483207823
6.69, 0.182065678018142
6.70, 0.181927038113264
6.71, 0.181788562665351
6.72, 0.181650251393929
6.73, 0.181512113903157
6.74, 0.1813741395851
6.75, 0.181236318358786
6.76, 0.181098669729872
6.77, 0.180961183404537
6.78, 0.180823858579455
6.79, 0.180686705173167
6.80, 0.180549702793456
6.81, 0.180412860840518
6.82, 0.180276189132644
6.83, 0.1801396672793
6.84, 0.180003313428247
6.85, 0.17986711990963
6.86, 0.179731084878665
6.87, 0.179595198042726
6.88, 0.179459478919902
6.89, 0.17932391732323
6.90, 0.179188512563738
6.91, 0.179053264559547
6.92, 0.178918182825579
6.93, 0.178783236776551
6.94, 0.178648466330704
6.95, 0.178513840904901
6.96, 0.178379370017585
6.97, 0.178245063587196
6.98, 0.178110901032595
6.99, 0.17797689187598
7.00, 0.177852510002838
7.01, 0.177747932108249
7.02, 0.177643654541937
7.03, 0.177539683558207
7.04, 0.177435999641573
7.05, 0.177332621555373
7.06, 0.177229526612037
7.07, 0.177126726355904
7.08, 0.177024227338775
7.09, 0.176922010151549
7.10, 0.176820082202367
7.11, 0.176718453019299
